Date,Rating,Review
2026-07-08,1,Ordered At 2 AM  Order Was Never Delivered... When I Asked For Refund They Straightaway Blocked Me!
2026-07-18,5,Great Food   full of discounts   value for money .
2026-07-14,5,You can order from multiple restaurant only in one order with less packaging charges + taxes. The app is better than the food giants like Swiggy and Zomato. I would also love if they add groceries in the future.
2026-06-28,5,The packaging and food both are sooo good it was a delicious and delightful experience.. We ended up over eating and finger licking good meal..
2026-06-25,5,Its the best app for tasty food I can guarnty ❤️❤️❤️
2026-06-23,1,Pincode not working
2026-07-05,1,I paid throught gpay and the money was deducted from my account but it wasn't received sk i had to pay again . I requested for a refund as but still no help and reply . Please help me with my refund .
2026-06-23,4,Thanks😄 food delivered very delicious  tasty and hygiene.
2026-07-08,4,🥳🥳
2026-06-30,5,awesome food bowl from the good bowl.. thoroughly enjoyed the food
2026-07-16,5,Best this app ez
2026-07-11,5,good
2026-07-14,1,Very bad app . Refund money not send . No refund system. Fraud app. Zomato swiggu and zepto app better. This app fraud and not use all people
2026-07-18,1,First Time order coupon never work. It always says max coupon applied when it isn't even near to the other coupon
2026-07-16,1,Please don't believe this app I have ordered using this app for the offer without delivering they have cancelled the order and also they didn't refund the amount which I have paid l.
2026-07-08,5,delivered in just 20 mins and taste was also so good
2026-07-19,1,Customer support services is very bad. I am order the chicken biryani but I received cockroach biryani I am asking to refund my money  the customer support executive is not responding. Don't choose this app
2026-06-30,5,👌
2026-06-23,2,Worst food
2026-07-08,1,Outlets process wrong order every time and support is worst amongst all app I have seen till today. Edit -03 Jan-25- Eatsure deserve 1 star. Even after writing them detail issue about order and refund they replied with only refund issue and conveniently ignored order issue.
2026-06-29,4,Perfect cooked  tasty and deliver on the time 👍👍👍👍
2026-07-03,5,It very good test thanku so much
2026-07-08,5,Good delicious varieties of food items.with good delivery service.
2026-07-06,5,Meal qualitie is very good
2026-07-05,1,That's only first class family affected 😭😭middle class family not afford this value Dugna se Jada price rakhe har food ka Waste of time this aapp
